date,juliandate,a0620Cal,merr1
90106,2454838.75310,16.382,0.007
90109,2454841.71313,16.328333333333333,0.022
90114,2454846.71789,16.372000000000003,0.008
90117,2454849.73315,16.42475,0.008
90125,2454857.69164,16.278,0.006
90125,2454857.69644,16.19775,0.006
90125,2454857.71589,16.18475,0.006
90125,2454857.72068,16.206,0.006
90129,2454861.60616,16.072333333333333,0.005
90129,2454861.61094,16.1,0.005
90129,2454861.63026,16.169249999999998,0.006
90129,2454861.63504,16.157333333333334,0.006
90204,2454867.61915,16.230333333333334,0.01
90204,2454867.64391,16.30425,0.011
90204,2454867.69830,16.23725,0.011
90210,2454873.67630,16.398249999999997,0.011
90214,2454877.56717,16.297250000000002,0.006
90219,2454882.66093,16.36025,0.007
90222,2454885.61578,16.494,0.007
90225,2454888.58904,16.319000000000003,0.006
90228,2454891.65954,16.39375,0.007
90303,2454894.61422,16.52025,0.01
90306,2454897.58819,16.2885,0.01
90309,2454900.62688,16.48975,0.014
90312,2454903.61842,16.33925,0.009
90315,2454906.60115,16.45,0.012
90318,2454909.57832,16.168499999999998,0.007
90321,2454912.58244,16.340999999999998,0.008
90324,2454915.58120,16.21,0.007
90327,2454918.59466,16.247249999999998,0.007
90330,2454921.57519,16.15025,0.007
90402,2454924.54390,16.39875,0.009
90405,2454927.53322,16.2615,0.009
90407,2454929.53820,16.37375,0.012
90409,2454931.54502,16.25625,0.009
90412,2454934.54439,16.422,0.009
90413,2454935.53021,16.433,0.009
91001,2455106.86720,16.682499999999997,0.017
91004,2455109.84961,16.364500000000003,0.011
91007,2455112.82892,16.625500000000002,0.024
91011,2455116.82229,16.46275,0.01
91011,2455116.85697,16.494999999999997,0.009
91013,2455118.83373,16.5205,0.009
91015,2455120.80320,16.52025,0.009
91017,2455122.78108,16.23725,0.007
91020,2455125.81029,16.378,0.008
91020,2455125.82901,16.26775,0.007
91021,2455126.76396,16.33175,0.007
91023,2455128.78261,16.291,0.013
91027,2455132.83577,16.47275,0.007
91103,2455139.81015,16.629499999999997,0.015
91105,2455141.74176,16.469,0.02
91107,2455143.73475,16.36875,0.01
91112,2455148.81183,16.429000000000002,0.009
91114,2455150.73665,16.3465,0.007
91116,2455152.75056,16.5635,0.008
91117,2455153.74360,16.418999999999997,0.013
91118,2455154.77278,16.41175,0.008
91123,2455159.73321,16.372500000000002,0.007
91124,2455160.78876,16.539250000000003,0.046
91125,2455161.77906,16.58,0.009
91127,2455163.77676,16.425,0.008
91128,2455164.81373,16.44275,0.008
91130,2455166.67291,16.413249999999998,0.011
91202,2455168.79060,16.428250000000002,0.025
91204,2455170.76462,16.4085,0.014
91207,2455173.69312,16.456000000000003,0.012
91209,2455175.74243,16.396749999999997,0.007
91211,2455177.75416,16.4505,0.007
91212,2455178.72325,16.534750000000003,0.009
91214,2455180.66059,16.51675,0.009
91215,2455181.75201,16.444499999999998,0.012
91216,2455182.72959,16.44925,0.007
91217,2455183.78649,16.48425,0.007
91218,2455184.74627,16.502500000000005,0.007
91219,2455185.70303,16.52375,0.008
91220,2455186.71683,16.4375,0.007
100102,2455199.70715,16.475,0.011
100103,2455200.69356,16.448,0.008
100104,2455201.73343,16.37625,0.008
100105,2455202.72381,16.23225,0.006
100106,2455203.75621,16.459,0.008
100110,2455207.70082,16.35525,0.007
100111,2455208.72289,16.4115,0.008
100112,2455209.69886,16.374250000000004,0.008
100113,2455210.76988,16.326999999999998,0.008
100114,2455211.74796,16.322,0.007
100115,2455212.72390,16.267249999999997,0.007
100116,2455213.70284,16.2985,0.008
100117,2455214.72002,16.45575,0.008
100118,2455215.70207,16.49275,0.008
100119,2455216.69831,16.56275,0.011
100122,2455219.68341,16.361000000000004,0.008
100125,2455222.73244,16.23575,0.009
100130,2455227.72888,16.1285,0.013
100131,2455228.74244,16.15875,0.012
100201,2455229.76376,16.378749999999997,0.012
100203,2455231.69259,16.37325,0.012
100204,2455232.74753,16.23825,0.011
100207,2455235.65702,16.26875,0.007
100209,2455237.67062,16.50725,0.009
100215,2455243.67494,16.478,0.008
100217,2455245.67821,16.363500000000002,0.008
100219,2455247.63683,16.269750000000002,0.009
100221,2455249.58564,16.34675,0.008
100225,2455253.58359,16.2775,0.01
100227,2455255.64149,16.417249999999996,0.012
100228,2455256.64527,16.33025,0.011
100304,2455260.66091,16.490000000000002,0.01
100306,2455262.66074,16.34425,0.01
100307,2455263.64625,16.311,0.009
100309,2455265.59079,16.4035,0.008
100311,2455267.58521,16.42575,0.009
100313,2455269.62260,16.33575,0.008
100318,2455274.53984,16.46125,0.008
100320,2455276.61137,16.43325,0.009
100322,2455278.52607,16.42425,0.012
100322,2455278.58602,16.408250000000002,0.013
100323,2455279.49334,16.42275,0.013
100323,2455279.51166,16.4935,0.013
100323,2455279.51850,16.45325,0.014
100323,2455279.52909,16.46725,0.012
100323,2455279.53938,16.463,0.012
100323,2455279.56958,16.3945,0.013
100323,2455279.57455,16.4015,0.013
100324,2455280.49258,16.421,0.013
100324,2455280.51793,16.351,0.011
100324,2455280.55466,16.30675,0.009
100324,2455280.55965,16.3735,0.01
100324,2455280.56469,16.3415,0.01
100324,2455280.58980,16.344250000000002,0.012
100324,2455280.59693,16.312,0.011
100325,2455281.51835,16.363750000000003,0.01
100325,2455281.53272,16.286,0.011
100325,2455281.53754,16.23375,0.01
100325,2455281.54236,16.31475,0.009
100325,2455281.54718,16.317500000000003,0.01
100325,2455281.55199,16.35125,0.009
100325,2455281.58643,16.43,0.012
100328,2455284.57421,16.42425,0.011
100331,2455287.56031,16.323,0.01
100402,2455289.51483,16.44,0.008
100404,2455291.52138,16.225250000000003,0.008
100407,2455294.52173,16.476000000000003,0.009
100408,2455295.51869,16.49375,0.011
100409,2455296.51681,16.444499999999998,0.009
100410,2455297.52257,16.3925,0.008
100412,2455299.49580,16.374499999999998,0.009
100414,2455301.52162,16.32575,0.008
100418,2455305.50558,16.281750000000002,0.009
100419,2455306.48273,16.339,0.011
100421,2455308.48138,16.185250000000003,0.009
100423,2455310.48733,16.237000000000002,0.009
100426,2455313.50328,16.241,0.012
100430,2455317.47594,16.36,0.01
100506,2455323.47893,16.256249999999998,0.011
100508,2455325.47737,16.271,0.01
100510,2455327.46890,16.384750000000004,0.009
100825,2455434.88803,16.26025,0.012
100830,2455439.87409,16.289250000000003,0.01
100906,2455446.87981,16.22475,0.008
100908,2455448.88963,16.169249999999998,0.007
100914,2455454.87473,16.229499999999998,0.008
100915,2455455.85887,16.243000000000002,0.009
100916,2455456.88783,16.26475,0.007
100918,2455458.89293,16.1485,0.007
100919,2455459.86054,16.19,0.011
100922,2455462.88144,16.245749999999997,0.009
100927,2455467.82168,16.368249999999996,0.009
100927,2455467.82650,16.359250000000003,0.009
100927,2455467.83131,16.42125,0.01
100927,2455467.83612,16.432499999999997,0.009
100927,2455467.84094,16.4,0.009
100928,2455468.85144,16.277,0.009
100930,2455470.86201,16.32725,0.011
101002,2455472.82293,16.335,0.013
101005,2455475.82532,16.279500000000002,0.008
101007,2455477.83539,16.317,0.007
101009,2455479.79684,16.301000000000002,0.008
101013,2455483.82394,16.187,0.008
101015,2455485.80181,16.26025,0.007
101017,2455487.82874,16.2515,0.008
101019,2455489.79709,16.256500000000003,0.008
101021,2455491.79791,16.13975,0.01
101022,2455492.79108,16.165499999999998,0.01
101023,2455493.80739,16.21075,0.009
101024,2455494.79493,16.37975,0.011
101025,2455495.82478,16.19025,0.009
101029,2455499.80779,16.33575,0.009
101031,2455501.81996,16.168249999999997,0.007
101101,2455502.80831,16.158,0.007
101102,2455503.70424,16.348750000000003,0.009
101102,2455503.73950,16.182000000000002,0.008
101104,2455505.68274,16.291249999999998,0.009
101104,2455505.76432,16.305749999999996,0.009
101104,2455505.83060,16.28425,0.007
101105,2455506.73628,16.402500000000003,0.009
101108,2455509.79539,16.33025,0.008
101109,2455510.78279,16.348,0.007
101109,2455510.81213,16.24625,0.007
101110,2455511.74469,16.262,0.007
101111,2455512.84637,16.278,0.007
101112,2455513.65886,16.017999999999997,0.008
101112,2455513.83569,16.185499999999998,0.007
101113,2455514.74630,16.0575,0.006
101113,2455514.85904,16.37325,0.009
101114,2455515.78259,16.38725,0.008
101114,2455515.79692,16.3425,0.008
101115,2455516.76504,16.38725,0.008
101115,2455516.77504,16.36975,0.008
101116,2455517.72986,16.30025,0.009
101116,2455517.85286,16.24125,0.009
101118,2455519.69162,16.286749999999998,0.01
101118,2455519.83964,16.3525,0.009
101120,2455521.65593,16.063250000000004,0.013
101120,2455521.83445,16.148,0.009
101121,2455522.66595,16.018749999999997,0.011
101121,2455522.83690,16.121250000000003,0.017
101122,2455523.75040,16.238750000000003,0.012
101123,2455524.74400,16.362250000000003,0.026
101123,2455524.84597,16.57075,0.028
101124,2455525.75144,16.373749999999998,0.019
101124,2455525.82128,16.42525,0.018
101125,2455526.80940,16.274,0.01
101126,2455527.82018,16.23275,0.008
101126,2455527.83009,16.2065,0.008
101127,2455528.70066,16.22175,0.008
101127,2455528.82602,16.156,0.008
101128,2455529.74157,16.2305,0.008
101129,2455530.62525,16.323,0.009
101130,2455531.62151,16.331,0.008
101130,2455531.85809,16.23825,0.013
101201,2455532.66330,16.119999999999997,0.006
101202,2455533.77851,16.4005,0.007
101203,2455534.62715,16.176249999999996,0.007
101203,2455534.85332,16.433500000000002,0.013
101204,2455535.71873,16.253749999999997,0.006
101205,2455536.75293,16.289,0.007
101206,2455537.73009,16.320999999999998,0.008
101207,2455538.69694,16.29825,0.007
101207,2455538.81430,16.1475,0.006
101208,2455539.66449,16.29725,0.007
101208,2455539.69382,16.342,0.007
101209,2455540.60409,16.0985,0.007
101210,2455541.63628,16.357,0.008
101211,2455542.61193,16.38025,0.009
101211,2455542.72751,16.299,0.007
101212,2455543.60597,16.4315,0.009
101212,2455543.71249,16.4315,0.008
101212,2455543.83339,16.201999999999998,0.008
101213,2455544.71301,16.47475,0.009
101213,2455544.77411,16.328500000000002,0.008
101214,2455545.67942,16.426000000000002,0.009
101214,2455545.83765,16.40075,0.009
101215,2455546.78208,16.302,0.007
101216,2455547.64382,16.39475,0.01
101216,2455547.81080,16.2845,0.008
101217,2455548.65827,16.244,0.009
101217,2455548.79666,16.24075,0.008
101218,2455549.65473,16.3155,0.012
101218,2455549.81551,16.292,0.013
101219,2455550.66709,16.42575,0.017
101220,2455551.80746,16.4405,0.009
101222,2455553.60213,16.35975,0.028
101222,2455553.79636,16.462249999999997,0.02
101223,2455554.70566,16.4675,0.011
101226,2455557.73677,16.40025,0.008
101227,2455558.65800,16.42175,0.007
101227,2455558.85045,16.061999999999998,0.008
101228,2455559.74184,16.4895,0.01
101228,2455559.84801,16.381,0.01
101229,2455560.73027,16.5005,0.008
101229,2455560.82730,16.420250000000003,0.009
101230,2455561.66836,16.49375,0.009
110101,2455563.79335,16.353,0.007
110102,2455564.55216,16.503999999999998,0.011
110102,2455564.68655,16.378,0.008
110102,2455564.78482,16.3995,0.009
110103,2455565.56490,16.454750000000004,0.009
110103,2455565.68490,16.476,0.008
110104,2455566.57787,16.41825,0.011
110104,2455566.78126,16.383249999999997,0.009
110105,2455567.69475,16.343249999999998,0.008
110106,2455568.63231,16.520249999999997,0.009
110106,2455568.74482,16.4075,0.009
110107,2455569.54835,16.4645,0.01
110107,2455569.74922,16.52975,0.01
110108,2455570.56690,16.4125,0.01
110108,2455570.78460,16.341749999999998,0.008
110109,2455571.59563,16.336750000000002,0.008
110109,2455571.78622,16.3685,0.009
110110,2455572.59424,16.3745,0.008
110110,2455572.77906,16.406749999999995,0.008
110111,2455573.62602,16.5045,0.007
110111,2455573.74248,16.35225,0.007
110112,2455574.62173,16.475499999999997,0.009
110112,2455574.69997,16.393,0.009
110113,2455575.59442,16.49875,0.01
110113,2455575.77628,16.386,0.01
110114,2455576.64657,16.42575,0.009
110115,2455577.72037,16.441000000000003,0.017
110116,2455578.66996,16.49725,0.019
110119,2455581.58899,16.526249999999997,0.028
110119,2455581.68395,16.54525,0.016
110120,2455582.65530,16.503750000000004,0.015
110121,2455583.62401,16.5545,0.013
110122,2455584.65768,16.421750000000003,0.009
110123,2455585.69776,16.427500000000002,0.011
110123,2455585.74727,16.4615,0.012
110125,2455587.52640,16.445,0.023
110125,2455587.69813,16.4645,0.01
110126,2455588.52697,16.40275,0.02
110126,2455588.75056,16.37425,0.01
110127,2455589.55609,16.350250000000003,0.008
110127,2455589.64381,16.45,0.008
110127,2455589.74943,16.51775,0.01
110128,2455590.55618,16.44325,0.008
110128,2455590.74248,16.518749999999997,0.009
110129,2455591.55482,16.403,0.009
110129,2455591.66121,16.363749999999996,0.007
110129,2455591.71148,16.41525,0.009
110130,2455592.54651,16.268749999999997,0.007
110130,2455592.70744,16.36625,0.008
110131,2455593.66116,16.3655,0.008
110202,2455595.69494,16.053,0.006
110203,2455596.69465,16.283,0.008
110206,2455599.63535,16.223,0.007
110209,2455602.68860,16.152500000000003,0.007
110212,2455605.73994,16.304750000000002,0.008
110215,2455608.60350,16.267500000000002,0.014
110216,2455609.62887,16.305999999999997,0.016
110217,2455610.69330,16.16275,0.015
110218,2455611.58269,16.218,0.01
110219,2455612.63722,16.14075,0.01
110220,2455613.66961,16.19025,0.009
110222,2455615.61785,16.29575,0.008
110224,2455617.59595,16.277749999999997,0.008
110225,2455618.59450,16.231,0.008
110227,2455620.58545,16.25125,0.007
110302,2455623.64471,16.20325,0.009
110303,2455624.59364,16.151000000000003,0.009
110304,2455625.65507,16.11875,0.008
110306,2455627.56294,16.233999999999998,0.008
110307,2455628.55001,16.31975,0.008
110308,2455629.63308,16.261499999999998,0.009
110309,2455630.56373,16.14775,0.008
110310,2455631.54565,16.200499999999998,0.008
110312,2455633.57412,16.216499999999996,0.009
110313,2455634.56785,16.29875,0.013
110316,2455637.61289,16.1175,0.011
110319,2455640.52261,16.381999999999998,0.012
110323,2455644.59123,16.21125,0.008
110326,2455647.53282,16.243250000000003,0.008
110329,2455650.51259,16.393,0.009
110822,2455796.89081,16.38625,0.014
110824,2455798.87613,16.302750000000003,0.011
110830,2455804.85087,16.23525,0.011
110902,2455807.85555,16.1295,0.008
110905,2455810.87835,16.28125,0.009
110907,2455812.85098,16.2665,0.009
110909,2455814.82389,16.22075,0.013
110911,2455816.82176,16.35125,0.013
110913,2455818.82925,16.354999999999997,0.012
110915,2455820.84559,16.340500000000002,0.012
110917,2455822.87878,16.302500000000002,0.01
110918,2455823.85305,16.308,0.009
120309,2455996.59622,16.54025,0.014
120310,2455997.56612,16.54,0.01
120313,2456000.57779,16.4325,0.009
120315,2456002.54508,16.4245,0.01
120317,2456004.54719,16.55375,0.012
120320,2456007.58918,16.34525,0.008
120322,2456009.52590,16.465750000000003,0.009
120323,2456010.53450,16.52975,0.01
120324,2456011.56974,16.430500000000002,0.01
120326,2456013.53248,16.55375,0.011
120328,2456015.52482,16.5665,0.015
120330,2456017.54305,16.206250000000004,0.024
120401,2456019.56391,16.536,0.014
120404,2456022.54439,16.244,0.012
120407,2456025.52517,16.46325,0.014
120411,2456029.52445,16.43475,0.013
120414,2456032.50391,16.470750000000002,0.013
120417,2456035.50760,16.43375,0.014
120419,2456037.52460,16.36225,0.013
120421,2456039.50742,16.2925,0.011
120424,2456042.50753,16.39525,0.013
120430,2456048.48429,16.40825,0.015
120502,2456050.47966,16.44375,0.014
120504,2456052.46350,16.460749999999997,0.022
120506,2456054.48228,16.26975,0.017
120508,2456056.46160,16.2725,0.015
120927,2456198.84319,16.23875,0.01
120929,2456200.87179,16.2945,0.011
120930,2456201.82361,16.22475,0.028
121001,2456202.78153,16.0995,0.012
121003,2456204.83117,16.149500000000003,0.01
121011,2456212.87099,16.3505,0.01
121014,2456215.81274,16.24375,0.008
121018,2456219.71534,16.263500000000004,0.01
121023,2456224.73359,16.353499999999997,0.06
121025,2456226.81666,16.323999999999998,0.01
121028,2456229.77610,16.439,0.013
121029,2456230.81592,16.51775,0.019
121101,2456233.71473,16.391,0.016
121103,2456235.71681,16.286749999999998,0.015
121105,2456237.73154,16.441000000000003,0.014
121107,2456239.74169,16.3855,0.009
121109,2456241.75331,16.53325,0.012
121113,2456245.75796,16.40875,0.011
121116,2456248.70366,16.537499999999998,0.011
121119,2456251.68189,16.448,0.012
121121,2456253.72825,16.501,0.01
121123,2456255.75731,16.4685,0.01
121125,2456257.77614,16.56925,0.013
121130,2456262.70907,16.313,0.021
121203,2456265.68551,16.5505,0.011
121205,2456267.67793,16.36925,0.011
121207,2456269.74968,16.50425,0.011
121209,2456271.69979,16.46875,0.011
121211,2456273.73964,16.53775,0.011
121217,2456279.71278,16.487750000000002,0.01
121220,2456282.74768,16.397,0.011
121222,2456284.70992,16.41875,0.01
121227,2456289.78040,16.456500000000002,0.035
121229,2456291.73587,16.21225,0.016
121231,2456293.75397,16.4085,0.013
130102,2456295.67847,16.39175,0.011
130105,2456298.74477,16.2485,0.009
130107,2456300.71869,16.289,0.009
130109,2456302.66897,16.413999999999998,0.01
130111,2456304.57154,16.2925,0.009
130112,2456305.68767,16.25875,0.009
130114,2456307.66078,16.255750000000003,0.01
130116,2456309.59484,16.382,0.01
130118,2456311.67966,16.417749999999998,0.009
130126,2456319.65227,16.4735,0.017
130128,2456321.71437,16.507749999999998,0.015
130209,2456333.63338,16.4025,0.009
130212,2456336.61621,16.31025,0.008
130214,2456338.59363,16.2325,0.008
130218,2456342.64637,16.36825,0.012
130220,2456344.58280,16.332,0.019
130303,2456355.55636,16.417749999999998,0.02
130311,2456363.59230,16.510250000000003,0.011
130313,2456365.61653,16.41,0.011
130316,2456368.61131,16.33975,0.011
130319,2456371.62451,16.47675,0.021
130321,2456373.61964,16.465,0.019
130323,2456375.59403,16.4565,0.017
130325,2456377.57679,16.340999999999998,0.013
130327,2456379.56751,16.42675,0.015
130329,2456381.60452,16.38225,0.017
130402,2456385.53101,16.53225,0.013
130404,2456387.57062,16.36425,0.012
130406,2456389.51254,16.37725,0.012
130410,2456393.54609,16.4285,0.012
130413,2456396.49677,16.528499999999998,0.014
130912,2456548.87203,16.21125,0.009
130918,2456554.88589,16.3685,0.013
130920,2456556.86876,16.45075,0.013
130921,2456557.85216,16.524,0.017
130923,2456559.87119,16.268,0.011
130928,2456564.85149,16.38725,0.017
131001,2456567.85759,16.542749999999998,0.013
131004,2456570.77565,16.54725,0.014
131006,2456572.76510,16.38875,0.012
131008,2456574.81851,16.583750000000002,0.012
131010,2456576.79817,16.499499999999998,0.012
131011,2456577.83184,16.45625,0.011
131012,2456578.80627,16.51575,0.015
131013,2456579.79345,16.51925,0.014
131014,2456580.82901,16.49025,0.017
131016,2456582.81430,16.3355,0.013
131017,2456583.80799,16.3295,0.015
131019,2456585.75350,16.334500000000002,0.015
131025,2456591.85038,16.1495,0.011
131026,2456592.83163,16.195999999999998,0.01
131102,2456599.74334,16.248,0.009
131102,2456599.80818,16.38825,0.011
131103,2456600.76811,16.23325,0.01
131103,2456600.83100,16.186,0.009
131104,2456601.81482,16.103,0.009
131105,2456602.76537,16.243,0.011
131105,2456602.80289,16.244500000000002,0.01
131106,2456603.76770,16.21425,0.009
131106,2456603.80946,16.094,0.008
131108,2456605.76830,16.2835,0.009
131108,2456605.80825,16.3515,0.009
131111,2456608.75422,16.25175,0.009
131112,2456609.79332,16.158749999999998,0.009
131113,2456610.71112,16.19175,0.011
131114,2456611.72825,16.12875,0.01
131114,2456611.84050,16.259749999999997,0.012
131115,2456612.82013,16.139999999999997,0.01
131116,2456613.83154,16.2515,0.014
131117,2456614.77493,16.034,0.011
131118,2456615.79357,16.1445,0.014
131120,2456617.76505,16.4895,0.028
131121,2456618.79687,16.0905,0.013
131122,2456619.79118,16.18125,0.01
131124,2456621.79315,16.427500000000002,0.017
131125,2456622.81436,16.3445,0.01
131128,2456625.78807,16.347,0.01
131129,2456626.74501,16.31525,0.011
131129,2456626.84487,16.34925,0.01
131130,2456627.74166,16.209,0.009
131201,2456628.78664,16.222,0.009
131202,2456629.85565,16.2785,0.028
131203,2456630.79736,16.102249999999998,0.016
131205,2456632.65225,16.37625,0.012
131205,2456632.67351,16.12275,0.01
131205,2456632.72362,16.27075,0.01
131205,2456632.74975,16.413999999999998,0.011
131205,2456632.79401,16.335,0.01
131206,2456633.75033,16.50575,0.014
131206,2456633.84752,16.184,0.01
131208,2456635.61413,16.14625,0.011
131208,2456635.62085,16.03975,0.011
131208,2456635.62421,16.16475,0.011
131208,2456635.65696,16.218999999999998,0.01
131208,2456635.66031,16.278250000000003,0.01
131208,2456635.66367,16.28425,0.011
131208,2456635.69309,16.340249999999997,0.011
131208,2456635.69644,16.29275,0.01
131208,2456635.70318,16.2085,0.009
131208,2456635.73268,16.17475,0.009
131208,2456635.73604,16.10925,0.009
131208,2456635.73939,16.0215,0.008
131208,2456635.74275,16.174249999999997,0.009
131208,2456635.77214,16.05875,0.008
131208,2456635.77549,16.142000000000003,0.008
131208,2456635.77549,16.136000000000003,0.009
131208,2456635.78231,16.15375,0.009
131208,2456635.82728,16.30725,0.014
131208,2456635.82728,16.26525,0.011
131208,2456635.83409,16.271,0.01
131208,2456635.83743,16.326999999999998,0.01
131209,2456636.61683,16.3905,0.012
131209,2456636.66550,16.4585,0.012
131209,2456636.75747,16.168,0.009
131209,2456636.81449,16.387249999999998,0.01
131209,2456636.85167,16.317500000000003,0.012
131210,2456637.61633,16.209500000000002,0.011
131210,2456637.65024,16.31075,0.012
131210,2456637.69104,16.148500000000002,0.011
131210,2456637.73946,16.2575,0.01
131210,2456637.79639,16.313,0.009
131210,2456637.84596,16.12925,0.009
131211,2456638.60549,16.455250000000003,0.015
131211,2456638.65620,16.255,0.011
131211,2456638.66800,16.211499999999997,0.01
131211,2456638.68014,16.233,0.01
131211,2456638.69184,16.182,0.011
131211,2456638.70415,16.31,0.012
131211,2456638.74025,16.36675,0.011
131211,2456638.79342,16.30575,0.009
131211,2456638.83974,16.284249999999997,0.009
131212,2456639.73120,16.364,0.013
131213,2456640.77016,16.23325,0.013
131214,2456641.75378,16.20525,0.014
131218,2456645.69973,16.592750000000002,0.035
131219,2456646.75632,16.1035,0.01
131220,2456647.80114,16.366999999999997,0.014
131221,2456648.73097,16.3455,0.012
131222,2456649.66640,16.101,0.01
131223,2456650.75113,16.404,0.012
131226,2456653.72972,16.41225,0.011
131227,2456654.73892,16.41925,0.01
131228,2456655.70580,16.40425,0.011
131229,2456656.65528,16.364,0.012
131230,2456657.67641,16.438750000000002,0.012
131231,2456658.76576,16.44575,0.01
140101,2456659.69435,16.32975,0.011
140102,2456660.68511,16.3705,0.011
140103,2456661.75755,16.352,0.012
140104,2456662.62711,16.424750000000003,0.011
140105,2456663.67135,16.3755,0.012
140106,2456664.67827,16.227,0.011
140107,2456665.67695,16.27525,0.01
140108,2456666.66105,16.17675,0.009
140110,2456668.61656,16.3465,0.011
140111,2456669.64730,16.14325,0.015
140112,2456670.72458,16.326999999999998,0.027
140113,2456671.72924,16.53575,0.049
140115,2456673.70034,16.24225,0.026
140117,2456675.76069,16.4035,0.028
140118,2456676.68899,16.286,0.014
140119,2456677.68985,16.46975,0.013
140120,2456678.67245,16.427,0.012
140122,2456680.64388,16.3405,0.01
140123,2456681.69239,16.179000000000002,0.039
140124,2456682.71655,16.27075,0.011
140125,2456683.64445,16.462000000000003,0.011
140126,2456684.72950,16.273249999999997,0.01
140128,2456686.58946,16.3445,0.01
140129,2456687.60607,16.3435,0.011
140130,2456688.65583,16.43775,0.012
140131,2456689.61579,16.409999999999997,0.012
140201,2456690.62072,16.37125,0.01
140202,2456691.64341,16.231,0.011
140203,2456692.65639,16.12425,0.008
140205,2456694.63268,16.358249999999998,0.012
140206,2456695.63773,16.356499999999997,0.012
140207,2456696.60443,16.261250000000004,0.011
140208,2456697.58465,16.33925,0.015
140209,2456698.62483,16.6195,0.027
140210,2456699.60721,16.405250000000002,0.026
140211,2456700.55752,16.48125,0.03
140212,2456701.58223,16.489,0.017
140214,2456703.63034,16.235999999999997,0.016
140216,2456705.61983,16.413249999999998,0.017
140218,2456707.59876,16.4775,0.015
140220,2456709.57488,16.386249999999997,0.011
140222,2456711.59128,16.502,0.015
140224,2456713.56259,16.472749999999998,0.014
140226,2456715.54959,16.37125,0.01
140228,2456717.61744,16.42225,0.012
140302,2456719.58977,16.329,0.011
140304,2456721.58178,16.52375,0.012
140306,2456723.60815,16.3175,0.011
140308,2456725.56602,16.2815,0.015
140310,2456727.56874,16.44725,0.018
140312,2456729.55006,16.49275,0.015
140314,2456731.55399,16.3435,0.014
140316,2456733.52705,16.325499999999998,0.013
140318,2456735.53065,16.34,0.013
140320,2456737.60349,16.393,0.011
140322,2456739.55331,16.441000000000003,0.012
140324,2456741.57700,16.304999999999996,0.01
140326,2456743.57628,16.392249999999997,0.012
140328,2456745.56243,16.0605,0.009
140401,2456749.53807,16.26,0.01
140403,2456751.53041,16.345999999999997,0.028
140409,2456757.56642,16.152250000000002,0.015
140411,2456759.52441,16.2345,0.012
140415,2456763.50566,16.272750000000002,0.016
140908,2456909.85824,16.2105,0.017
